game,word,score0,abaca,3
695,bryon,5
696,bryum,4
697,buddy,4
698,budge,3
699,bueno,4
700,buffo,3
701,buggy,4
702,bugle,4
703,build,4
704,built,5
705,bulge,4
706,bulky,5
707,bulla,3
708,bulls,5
709,bully,6
710,bumps,4
711,bumpy,5
712,bunas,3
713,bunch,4
714,bunco,3
715,bunko,4
716,bunny,5
717,burgh,4
718,burin,4
719,burke,4
720,burly,6
721,burnt,5
722,burro,5
723,bursa,4
724,burst,4
725,busby,5
726,busch,5
727,bushy,3
728,butch,4
729,butea,4
730,buteo,4
731,butte,5
732,butut,5
733,butyl,5
734,buxom,5
735,buxus,4
736,buyer,4
737,bylaw,4
738,byron,6
739,byssa,4
740,byway,5
741,cabal,3
742,caber,3
743,cabin,2
744,cable,2
745,cacao,6
746,cache,4
747,cachi,3
748,cacus,5
749,caddo,5
750,caddy,5
751,cader,3
752,cadet,4
753,cadge,3
754,cadit,3
755,cadiz,4
756,cadra,5
757,cadre,4
758,caeca,3
759,caelo,3
760,caeur,4
761,cagey,4
762,cahot,3
763,cairn,4
764,cairo,4
765,cajun,4
766,cakes,5
767,calbe,3
768,calla,6
769,calls,5
770,calms,5
771,calva,6
772,calve,4
773,calyx,7
774,camas,4
775,camel,3
776,cameo,4
777,cando,3
778,canal,3
779,canas,4
780,candy,4
781,canis,4
782,canna,4
783,canny,5
784,canoe,4
785,canon,5
786,canst,4
787,canto,4
788,canty,5
789,caper,6
790,capit,5
791,capon,4
792,capra,4
793,capri,5
794,caput,5
795,carat,5
796,cards,5
797,cares,6
798,caret,7
799,carex,8
800,cargo,3
801,carib,3
802,carle,4
803,carob,3
804,carol,4
805,carom,5
806,carpe,4
807,carre,7
808,carry,6
809,carta,6
810,carte,5
811,carum,4
812,carve,6
813,carya,6
814,carys,5
815,cased,3
816,caste,5
817,casus,6
818,catch,8
819,cater,7
820,cates,7
821,catty,5
822,cauda,4
823,caulk,4
824,causa,5
825,cause,6
826,cavia,5
827,cavil,4
828,cdrom,3
829,cease,2
830,cebus,3
831,cecal,4
832,cecum,4
833,cedar,3
834,ceiba,2
835,ceibo,2
836,cello,5
837,celom,3
838,celui,4
839,cento,4
840,ceras,4
841,ceres,4
842,ceric,6
843,cerni,3
844,certa,3
845,chafe,2
846,chaff,5
847,chain,3
848,chair,3
849,chait,4
850,chaja,8
851,chalk,4
852,champ,6
853,chant,4
854,chaos,7
855,chaps,7
856,chara,6
857,chard,2
858,charm,3
859,chart,4
860,chary,5
861,chase,3
862,chasm,7
863,cheap,4
864,cheat,5
865,check,2
866,cheek,4
867,cheep,5
868,cheer,4
869,chela,3
870,chere,6
871,chert,3
872,chess,5
873,chest,4
874,chewa,4
875,chewy,6
876,chian,2
877,chick,3
878,chide,2
879,chief,3
880,chien,4
881,child,2
882,chile,3
883,chili,3
884,chill,4
885,chime,4
886,china,3
887,chine,5
888,chink,3
889,chino,4
890,chios,5
891,chips,5
892,chirp,4
893,chirr,5
894,chloe,4
895,chock,4
896,choir,3
897,choix,4
898,choke,3
899,choky,4
900,chomp,3
901,chops,4
902,chord,3
903,chore,4
904,chose,5
905,choux,5
906,chuck,4
907,chufa,3
908,chuff,5
909,chump,4
910,chunk,4
911,churl,3
912,churn,5
913,churr,6
914,chute,5
915,chyle,4
916,chyme,5
917,cicer,4
918,cider,3
919,cigar,3
920,cigit,4
921,cilia,3
922,cimex,3
923,cinch,6
924,circa,3
925,circe,5
926,cisco,4
927,civet,4
928,civic,6
929,civil,5
930,civis,6
931,clack,5
932,clade,2
933,claim,4
934,clamp,4
935,clang,3
936,clank,4
937,claro,3
938,clary,5
939,clash,2
940,clasp,5
941,class,7
942,claws,6
943,clean,3
944,clear,4
945,cleat,5
946,cleft,3
947,clepe,5
948,clerk,4
949,clich,3
950,click,4
951,cliff,4
952,climb,2
953,clime,3
954,cline,3
955,cling,3
956,clink,4
957,cloak,3
958,clock,4
959,clone,4
960,close,4
961,cloth,3
962,cloud,4
963,clout,5
964,clove,5
965,clown,4
966,cluck,5
967,clump,3
968,coach,5
969,coaid,2
970,coals,3
971,coast,4
972,coati,3
973,coats,4
974,cobia,3
975,coble,2
976,cobol,3
